% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
39 +5.475260074e+01 +5.475260074e+01 +1.245826007e+02 +1.245826007e+02 -4.8849e+00 +3.6759e+00 +9.3312e-03 -3.3821e+00 -3.4527e+00 +2.5183e+00 -4.8533e+00 +4.3223e+00 +3.9672e+00 +1.8778e+00 -5.7223e-01 +3.0583e-01 +1.3781e+00 +8.4933e-01 -2.4130e+00 +6.8253e-01 -4.1171e+00 +1.5038e+00 +2.3374e+00 -1.9589e-01
934 +3.853150131e+01 +3.853150131e+01 +1.083615013e+02 +1.083615013e+02 -4.5106e-01 -1.7053e+00 -2.9384e-01 -1.8354e+00 +3.9468e+00 +3.0189e+00 -1.9120e+00 +2.2682e+00 +1.6574e+00 +6.3775e-01 +9.0803e-02 -2.5793e+00 -8.5785e-01 +3.5216e+00 +1.6359e-01 +3.0319e+00 -4.2484e-02 +2.3334e+00 +7.0058e-01 -2.8019e+00
% function evaluation | noise-free fitness - Fopt (7.000000000000e-02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.193483922e+02 +1.193483922e+02 +1.194183922e+02 +1.194183922e+02 -6.1362e-01 +3.4378e+00 -5.4777e-01 -3.8717e-01 -3.4643e-01 +3.5491e+00 -1.7621e+00 -3.1617e+00 -6.3377e-01 +2.7956e+00 +3.3174e-01 -2.4012e-01 -4.0113e+00 +4.0669e-01 -4.2318e+00 +4.7855e+00 +2.5986e+00 +3.8133e+00 +1.3981e+00 -2.5593e+00
2 +9.620505484e+01 +9.620505484e+01 +9.627505484e+01 +9.627505484e+01 -1.8144e+00 +8.4425e-01 -2.3596e+00 -1.5787e+00 +1.7135e+00 -4.8565e+00 +3.5916e+00 -3.5422e+00 -1.1906e+00 +1.7303e+00 +6.1826e-01 +7.4377e-01 -7.3528e-01 -1.7112e+00 -1.0984e+00 -2.5115e+00 +2.9263e+00 -2.7293e-01 -1.8667e+00 -4.1261e+00
10 +5.746087914e+01 +5.746087914e+01 +5.753087914e+01 +5.753087914e+01 +4.9669e+00 +2.6230e+00 -1.0907e+00 -2.7656e+00 +3.6327e+00 +2.4637e+00 +4.8835e+00 -1.8846e+00 -2.2235e+00 +4.6843e-01 +1.2715e+00 +2.0302e+00 +7.1900e-01 -4.9516e-01 +1.0292e+00 +3.3138e+00 +3.5588e+00 +3.7665e+00 +1.0968e+00 +1.4750e+00
184 +3.352807522e+01 +3.352807522e+01 +3.359807522e+01 +3.359807522e+01 +2.3105e+00 +2.9201e+00 +3.0209e+00 -2.0111e+00 +2.0077e+00 -8.9671e-01 -3.0951e-01 -5.8841e-01 -2.5488e+00 +3.7197e+00 +1.7574e+00 +7.9196e-01 +3.1290e+00 -3.9052e+00 +5.6162e-01 -1.5667e+00 -1.5479e+00 -1.4225e+00 -3.9170e+00 +4.5644e+00
% function evaluation | noise-free fitness - Fopt (4.960000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.208510211e+02 +4.208510211e+02 +4.258110211e+02 +4.258110211e+02 -1.5453e+00 -2.0032e-01 +3.0783e+00 -4.6776e+00 +1.9280e+00 -4.6805e+00 +2.0556e+00 -4.6279e+00 +9.4655e-01 -4.9027e+00 +4.1999e+00 -2.7149e+00 -3.6103e+00 -1.7022e+00 -1.3395e+00 +1.2866e+00 -7.2117e-01 -4.2453e+00 -1.7286e+00 -4.6056e+00
3 +3.521383061e+02 +3.521383061e+02 +3.570983061e+02 +3.570983061e+02 +1.8998e+00 -4.8788e+00 -9.7745e-01 -2.7749e+00 -6.1425e-02 +4.4756e+00 -1.6079e+00 -6.0272e-01 -3.1261e+00 -2.9213e+00 -9.5844e-01 -4.4448e+00 -3.9451e+00 -4.8032e+00 +3.9180e+00 -1.0833e+00 -4.1174e+00 +1.1921e+00 +3.9147e+00 +1.0020e+00
6 +1.333062880e+02 +1.333062880e+02 +1.382662880e+02 +1.382662880e+02 -1.1613e-01 -8.8127e-02 +2.1262e+00 -4.7331e+00 +2.6460e+00 +2.6763e+00 -4.3173e+00 +4.8209e+00 -1.1432e+00 -4.8405e+00 -3.7906e+00 +2.9783e-01 +1.3917e+00 +1.7509e+00 -4.0273e+00 -2.4383e-01 +3.0331e+00 -4.6047e+00 +1.4701e+00 -3.8250e+00
35 +7.286920004e+01 +7.286920004e+01 +7.782920004e+01 +7.782920004e+01 -9.6328e-01 +2.5736e-01 +2.7727e+00 +4.5889e-01 -1.1479e+00 +1.4591e+00 +2.0916e+00 -2.9524e+00 -4.7469e+00 -3.4003e+00 -4.2065e+00 +5.4689e-01 -2.1903e+00 +4.5567e+00 +3.8177e+00 -8.8074e-01 +7.4415e-01 -2.1904e+00 -1.9945e+00 -6.8802e-01
186 +5.964061957e+01 +5.964061957e+01 +6.460061957e+01 +6.460061957e+01 +4.5445e+00 +3.8670e+00 -3.3905e+00 -9.0730e-01 +4.0466e-01 +1.7846e+00 -7.7857e-01 +2.6908e+00 -4.9405e+00 -2.2933e+00 +3.7816e+00 +2.9262e+00 -1.1410e+00 +8.9282e-02 -4.7369e+00 -2.6284e+00 +4.0133e+00 -1.7622e+00 -1.2391e+00 -5.9300e-02
1021 +3.814506957e+01 +3.814506957e+01 +4.310506957e+01 +4.310506957e+01 +4.4188e+00 +2.1572e+00 -4.5039e+00 -2.3562e+00 +7.9219e-01 -2.1381e+00 +9.3358e-01 +5.7972e-01 -3.5648e+00 -2.3653e+00 -5.6464e-01 +8.4191e-01 -3.9033e+00 +7.1854e-01 +4.3784e+00 +2.0665e-01 +3.0788e+00 -2.1010e+00 -4.4681e+00 -2.6697e+00
% function evaluation | noise-free fitness - Fopt (1.923000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.740287691e+02 +1.740287691e+02 +3.663287691e+02 +3.663287691e+02 +1.6357e+00 +1.1027e+00 -2.1518e+00 +2.6062e+00 -1.9507e+00 -8.5856e-01 +4.6277e+00 -1.6689e+00 -8.2183e-01 +3.4926e+00 +9.4782e-01 -3.8133e+00 -4.6100e+00 +3.6579e+00 -4.7753e+00 +2.6136e+00 +4.0205e+00 +1.4058e+00 +1.4195e+00 +6.3596e-01
3 +9.938910709e+01 +9.938910709e+01 +2.916891071e+02 +2.916891071e+02 -4.0329e+00 -3.5043e+00 -3.1340e+00 +5.3702e-01 +2.2055e+00 -4.3072e+00 -3.4166e+00 +4.0158e+00 +2.1925e+00 +4.4822e+00 +4.2638e+00 +2.5281e+00 -1.9323e+00 +1.3827e+00 +1.7758e+00 +4.1281e+00 +3.0457e+00 -4.7719e+00 +3.5180e+00 -3.2543e+00
34 +5.424613132e+01 +5.424613132e+01 +2.465461313e+02 +2.465461313e+02 -1.6555e+00 -7.7997e-01 -9.6167e-02 -1.5274e+00 -3.3244e+00 -1.7963e-01 -8.9661e-01 +2.3229e+00 +2.2263e+00 -2.1369e+00 +4.8680e+00 -3.4068e+00 -3.1887e+00 +1.5621e+00 +3.3728e+00 +1.9957e+00 +1.6790e+00 -4.3441e+00 -1.2568e+00 +1.6799e+00
1304 +3.850852514e+01 +3.850852514e+01 +2.308085251e+02 +2.308085251e+02 -2.7966e+00 +1.0074e+00 -4.6173e-01 -3.1120e+00 -2.5069e+00 -2.1869e+00 -2.9051e+00 -4.5928e-01 +3.9339e-01 +3.9046e+00 +2.7875e+00 -1.1689e+00 -1.1691e+00 -4.3869e+00 +1.6876e+00 -1.1117e-01 -4.6558e-01 -4.7554e+00 -7.0649e-01 +7.1397e-01
% function evaluation | noise-free fitness - Fopt (4.971000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.456609987e+02 +5.456609987e+02 +5.953709987e+02 +5.953709987e+02 +1.2382e+00 +3.9730e+00 -8.6594e-01 +4.6062e+00 -1.5356e+00 +4.5880e-01 -1.6086e+00 -3.1242e+00 +1.8166e+00 -3.7366e+00 -1.0377e+00 -4.7025e+00 +2.9025e+00 +4.6885e+00 +4.3414e+00 -3.1813e+00 -2.7245e-01 -1.9465e+00 -1.8851e+00 +1.8769e+00
2 +1.579213558e+02 +1.579213558e+02 +2.076313558e+02 +2.076313558e+02 -4.2126e+00 -1.1665e+00 +4.5887e+00 +4.9817e+00 -1.5037e+00 -2.6391e-01 +1.8718e+00 +1.9689e+00 +2.9467e+00 +3.9309e+00 -8.2170e-01 -7.0305e-02 -3.7299e-01 +2.7329e+00 +2.5823e+00 +9.3483e-01 -2.2541e+00 -4.2494e+00 +1.4642e+00 +1.7598e+00
3 +8.939079265e+01 +8.939079265e+01 +1.391007926e+02 +1.391007926e+02 -3.1342e+00 -2.0228e+00 -3.6091e+00 -4.5858e+00 +3.8123e+00 +4.8690e+00 +3.8366e+00 +2.5406e+00 -4.8216e+00 -1.4639e+00 +1.9837e+00 -3.7418e+00 +4.6186e+00 +3.6729e+00 +3.8960e+00 -2.8403e+00 +1.0914e-01 -3.8143e+00 -3.9304e+00 +5.7163e-01
22 +5.511989072e+01 +5.511989072e+01 +1.048298907e+02 +1.048298907e+02 +2.8425e+00 +7.2422e-01 -4.0156e+00 +3.7439e-01 +1.8166e+00 +4.5953e+00 -1.6288e-01 -7.0351e-01 +1.1272e+00 +5.4467e-01 +3.1290e+00 -2.7715e+00 +1.4758e+00 +2.8932e+00 -1.3191e+00 -1.5835e+00 -5.8362e-01 -3.0049e+00 +3.0087e+00 +4.9220e+00
1108 +3.420796808e+01 +3.420796808e+01 +8.391796808e+01 +8.391796808e+01 +3.3574e+00 -4.4416e+00 -2.8138e+00 +2.5807e+00 -6.3460e-01 +3.5244e+00 -2.4396e+00 -3.6894e+00 -2.1827e+00 +5.5613e-01 -3.9472e+00 +1.0283e+00 +3.2033e+00 +4.7436e+00 +4.7709e+00 +7.8413e-01 -9.2542e-01 +1.9436e+00 -2.4504e+00 -1.5522e+00
% function evaluation | noise-free fitness - Fopt (2.051200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
